parameter_list,loss_result,mi_f1_result,ma_f1_result,mi_auc_result,ma_auc_result
"[2, 0.05, 10000]",0.602362037,0.795634921,0.815691719,0.990153037,0.98690821
"[2, 0.05, 12500]",0.587231755,0.790674603,0.809425146,0.990624308,0.987468715
"[2, 0.05, 15000]",0.58512491,0.798611111,0.817980963,0.990648887,0.987538611
"[2, 0.05, 20000]",0.569691479,0.797619048,0.818773378,0.991113004,0.988113385
"[2, 0.1, 10000]",0.578673542,0.793650794,0.815758139,0.990801942,0.98800948
"[2, 0.1, 12500]",0.562845945,0.801587302,0.821893608,0.99133839,0.988694033
"[2, 0.1, 15000]",0.5613783,0.807043651,0.829149188,0.991360755,0.988771009
"[2, 0.1, 20000]",0.579777539,0.80952381,0.827293596,0.991130389,0.989148188
"[2, 0.15, 10000]",0.562931418,0.804563492,0.827026203,0.991480476,0.989056903
"[2, 0.15, 12500]",0.579032123,0.807539683,0.82994178,0.991185569,0.988887535
"[2, 0.15, 15000]",0.598607242,0.806547619,0.828417926,0.991049077,0.989002848
"[2, 0.15, 20000]",0.663351476,0.796626984,0.822124679,0.990706203,0.98843161
"[2, 0.2, 10000]",0.580868304,0.798115079,0.817841815,0.991231593,0.989067726
"[2, 0.2, 12500]",0.643992782,0.795634921,0.816326276,0.990421501,0.988695769
"[2, 0.2, 15000]",0.713059604,0.785218254,0.808090694,0.989613358,0.987432808
"[2, 0.2, 20000]",0.836203992,0.794642857,0.819959639,0.989926978,0.987026553
"[2, 0.3, 10000]",0.76851517,0.782242063,0.808456523,0.988698443,0.986696198
"[2, 0.3, 12500]",0.82578826,0.794642857,0.82173402,0.989631967,0.986655213
"[2, 0.3, 15000]",0.952297449,0.78422619,0.809350076,0.989524573,0.98647069
"[2, 0.3, 20000]",1.193615913,0.793650794,0.820077129,0.988994872,0.98579252
